nodeType,longName,shortName
EXIT,15 Lobby Entrance Floor 2,15 Lobby Entrance
EXIT,75 Francis Valet Drop-off,75 Francis Exit
HALL,75 Lobby,75 Lobby
RETL,Au Bon Pain,ABP
EXIT,Ambulance Parking Exit Floor 1,AmbExit 1
LABS,Asthma Research Floor 1,Asthma 1
SERV,ATM MapNode 23 Floor 1,ATM Floor 1
BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
REST,Bathroom 75 Lobby,Bathroom Lobby
DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
DEPT,Brigham Circle Medical Associates Node 4 Floor 3,Brigham Circle Medical Associates
DEPT,Brigham Health Floor 2,Brigham Health
CONF,BTM Conference Center,BTM Conference
RETL,Cafe,Cafe
STAI,Cafe Stairs,Cafe Staris
LABS,Cardiac Stress Test Lab Floor L2,Cardiac Stress Test Lab
LABS,Cardiovascular Imaging Center Floor L2,Cardiovascular Imaging Center
DEPT,CART Waiting,CART Waiting
DEPT,Multifaith Chapel,Chapel
DEPT,Chest Diseases Floor 2,Chest Diseases
DEPT,Center for International Medicine,CIM
LABS,Clinical Trials,Clinical Trials
CONF,Duncan Reid Conference Room,Conf B0102
CONF,Anesthesia Conf Floor L1,Conf C001L1
CONF,Medical Records Conference Room Floor L1,Conf C002L1
CONF,Abrams Conference Room,Conf C003L1
CONF,Carrie M. Hall Conference Center Floor 2,Conference Center
LABS,CVRR Floor L2,CVRR
DEPT,Center for Infertility and Reproductive Surgery,D1
DEPT,Gynecology Oncology MIGS,D2
DEPT,General Surgical Specialties Suite A,D3
DEPT,General Surgical Specialties Suite B,D4
DEPT,Urology,D5
DEPT,Maternal Fetal Practice,D6
DEPT,Obstetrics,D7
DEPT,Fetal Med & Genetics,D8
DEPT,Gynecology,D9
DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
DEPT,Medical Records Film Library Floor L1,Department C004L1
DEPT,Comprehensive Breast Heath,DEPT B0102
DEPT,Oral Medicine and Dentistry,DEPT B0202
DEPT,Lee Bell Breast Center,DEPT B0302
DEPT,Jen Center for Primary Care,DEPT B0402
DEPT,Ear Nose & Throat,DEPT B0502
DEPT,Plastic Surgery,DEPT B0702
DEPT,Outpatient Pharmacy,DEPT B0802
DEPT,Weiner Center for Preoperative Evaluation,DEPT B0902
DEPT,Dialysis Waiting Room,Dialysis WR
ELEV,Elevator A Floor 2,Elevator A2
ELEV,Elevator B Floor 2,Elevator B2
ELEV,Elevator C Floor 2,Elevator C2
ELEV,Elevator D Floor 2,Elevator D2
ELEV,Elevator E Floor 1,Elevator E1
ELEV,Elevator E Floor 2,Elevator E2
ELEV,Elevator F Floor 1,Elevator F1
ELEV,Elevator F Floor 2,Elevator F2
ELEV,Elevator G Floor 1,Elevator G1
ELEV,Elevator G Floor 2,Elevator G2
ELEV,Elevator H Floor 1,Elevator H1
ELEV,Elevator H Floor 2,Elevator H2
ELEV,Elevator H Floor 3,Elevator H3
ELEV,Elevator H Floor L1,Elevator HL1
ELEV,Elevator J Floor 1,Elevator J1
ELEV,Elevator J Floor 2,Elevator J2
ELEV,Elevator J Floor 3,Elevator J3
ELEV,Elevator J Floor L1,Elevator JL1
ELEV,Elevator J Floor L2,Elevator JL2
ELEV,Elevator K Floor 1,Elevator K1
ELEV,Elevator K Floor 2,Elevator K2
ELEV,Elevator K Floor 3,Elevator K3
ELEV,Elevator K Floor L1,Elevator KL1
ELEV,Elevator K Floor L2,Elevator KL2
ELEV,Elevator L Floor 1,Elevator L1
ELEV,Elevator L Floor 2,Elevator L2
ELEV,Elevator L Floor 3,Elevator L3
ELEV,Elevator L Floor L1,Elevator LL1
ELEV,Elevator L Floor L2,Elevator LL2
ELEV,Elevator M Floor 1,Elevator M1
ELEV,Elevator M Floor 2,Elevator M2
ELEV,Elevator M Floor 3,Elevator M3
ELEV,Elevator M Floor L1,Elevator ML1
ELEV,Elevator M Floor L2,Elevator ML2
ELEV,Elevator N Node 25 Floor 2,Elevator N Floor 1
ELEV,Elevator N Node 15 Floor 3,Elevator N Floor 3
ELEV,Elevator Q MapNode 18 Floor 1,Elevator Q Floor 1
ELEV,Elevator Q Node 31a Floor 2,Elevator Q Floor 2
ELEV,Elevator Q Node 5 Floor 3,Elevator Q Floor 3
ELEV,Elevator Q MapNode 7 Floor L1,Elevator Q L1
ELEV,Elevator Q MapNode 6 Floor L2,Elevator Q L2
ELEV,Elevator S 01,Elevator S 1
ELEV,Elevator S 02,Elevator S 2
ELEV,Elevator S Floor 3,Elevator S 3
ELEV,Elevator S L2,Elevator S L2
DEPT,Emergency Department,Emergency
EXIT,Emergency Department Entrance,Emergency Entrance
DEPT,Endoscopy,Endoscopy
HALL,Hallway Lobby Entrance,Entrance Hallway
STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
EXIT,Exit 2 Floor 1,Exit 2
EXIT,Fenwood Road Exit MapNode 1 Floor L1,Fenwood Road EntranceExit L1
STAI,Stairs Node 28 Floor 2,Floor 2 Stairs Lower
STAI,Stairs Node 26 Floor 2,Floor 2 Stairs Upper
STAI,Staircase Node 9 Floor 3,Floor 3 Stairs 
EXIT,Francis Street Exit MapNode 1 Floor 1,Francis Street Exit Floor 1
RETL,Garden Cafe,Garden Cafe
RETL,Gift Shop Tower Floor 2,Gift Shop
HALL,Hallway Node 1,H1
HALL,Hallway Node 10,H10
HALL,Hallway Node 11,H11
HALL,Hallway Node 12,H12
HALL,Hallway Node 13,H13
HALL,Hallway Node 14,H14
HALL,Hallway Node 15,H15
HALL,Hallway Node 16,H16
HALL,Hallway Node 17,H17
HALL,Hallway Node 18,H18
HALL,Hallway Node 19,H19
HALL,Hallway Node 2,H2
HALL,Hallway Node 20,H20
HALL,Hallway Node 22,H22
HALL,Hallway Node 3,H3
HALL,Hallway Node 4,H4
HALL,Hallway Node 5,H5
HALL,Hallway Node 6,H6
HALL,Hallway Node 7,H7
HALL,Hallway Node 8,H8
HALL,Hallway Node 9,H9
HALL,Hall,Hall
HALL,Hallway to Elevator,Hall
HALL,Hallway Intersection,Hall
HALL,Kiosk,HALL
ELEV,Elevator N MapNode 26 Floor 1,Hall
HALL,Hallway MapNode 2 Floor 1,Hall
HALL,Hallway MapNode 3 Floor 1,Hall
HALL,Hallway MapNode 6 Floor 1,Hall
HALL,Hallway MapNode 7 Floor 1,Hall
HALL,Hallway MapNode 8 Floor 1,Hall
HALL,Hallway MapNode 9 Floor 1,Hall
HALL,Hallway MapNode 10 Floor 1,Hall
HALL,Hallway MapNode 14 Floor 1,Hall
HALL,Hallway MapNode 15 Floor 1,Hall
HALL,Hallway MapNode 16 Floor 1,Hall
HALL,Hallway MapNode 17 Floor 1,Hall
HALL,Hallway MapNode 21 Floor 1,Hall
HALL,Hallway MapNode 22 Floor 1,Hall
HALL,Hallway MapNode 24 Floor 1,Hall
HALL,Hallway MapNode 28 Floor 1,Hall
HALL,Hallway MapNode 29 Floor 1,Hall
HALL,Hallway MapNode 30 Floor 1,Hall
HALL,Hallway MapNode 31 Floor 1,Hall
HALL,Hallway MapNode 33 Floor 1,Hall
HALL,Hallway MapNode 34 Floor 1,Hall
HALL,Hall Node 1 Floor 2,Hall
HALL,Hall Node 2 Floor 2,Hall
HALL,Hall Node 3 Floor 2,Hall
HALL,Hall Node 4 Floor 2,Hall
HALL,Hall Node 5 Floor 2,Hall
HALL,Hall Node 10 Floor 2,Hall
HALL,Hall Node 11 Floor 2,Hall
HALL,Hall Node 12 Floor 2,Hall
HALL,Hall Node 13 Floor 2,Hall
HALL,Hall Node 14 Floor 2,Hall
HALL,Hall Node 15 Floor 2,Hall
HALL,Hall Node 16 Floor 2,Hall
HALL,Hall Node 17 (Exit?) Floor 2,Hall
HALL,Hall Node 18 Floor 2,Hall
HALL,Hall Node 20 Floor 2,Hall
HALL,Hall Node 21 Floor 2,Hall
HALL,Hall Node 22 Floor 2,Hall
HALL,Hall Node 23 Floor 2,Hall
HALL,Hall Node 27 Floor 2,Hall
HALL,Hall Node 29 Floor 2,Hall
HALL,Hall Node 30 Floor 2,Hall
HALL,Hall Node 32 Floor 2,Hall
HALL,Hall Node 33 Floor 2,Hall
HALL,Hall Node 34 Floor 2,Hall
HALL,Hall Node 36 Floor 2,Hall
HALL,Hall Node 37 Floor 2,Hall
HALL,Hall Node 38 Floor 2,Hall
HALL,Hallway Node 1 Floor 3,Hall
HALL,Hallway Node 2 Floor 3,Hall
HALL,Hallway Node 3 Floor 3,Hall
HALL,Hallway Node 6 Floor 3,Hall
HALL,Hallway Node 7 Floor 3,Hall
HALL,Hallway Node 8 Floor 3,Hall
HALL,Hallway Node 10 Floor 3,Hall
HALL,Hallway Node 11 Floor 3,Hall
HALL,Hallway Node 13 Floor 3,Hall
HALL,Hallway MapNode 2 Floor L1,Hall
HALL,Hallway MapNode 3 Floor L1,Hall
HALL,Hallway MapNode 4 Floor L1,Hall
HALL,Hallway MapNode 5 Floor L1,Hall
HALL,Hallway MapNode 6 Floor L1,Hall
HALL,Hallway MapNode 1 Floor L2,Hall
HALL,Hallway MapNode 5 Floor L2,Hall
HALL,Hallway MapNode 7 Floor L2,Hall
HALL,Hallway MapNode 8 Floor L2,Hall
HALL,Hallway MapNode 9 Floor L2,Hall
HALL,Hallway MapNode 10 Floor L2,Hall
HALL,Hallway MapNode 11 Floor L2,Hall
HALL,Hallway MapNode 12 Floor L2,Hall
HALL,Hallway MapNode 13 Floor L2,Hall
HALL,Hallway MapNode 16 Floor L2,Hall
HALL,Hallway MapNode 17 Floor L2,Hall
HALL,Hallway Node 1 Floor 1,Hall 01
HALL,Hallway Node 2 Floor 1,HallE02
HALL,Hallway Node 3 Floor 1,HallE03
HALL,Hallway Node 4 Floor 1,HallE04
HALL,Hallway Node 5 Floor 1,HallE05
HALL,Hallway Node 6 Floor 1,HallE06
HALL,Hallway Node 7 Floor 1,HallE07
HALL,Hallway Node 8 Floor 1,HallE08
HALL,Hallway Node 9 Floor 1,HallE09
HALL,Hallway Node 10 Floor 1,HallE10
HALL,Hallway Node 11 Floor 1,HallE11
HALL,Hallway Node 12 Floor 1,HallE12
HALL,Hallway Node 13 Floor 1,HallE13
HALL,Hallway Node 14 Floor 1,HallE14
HALL,Hallway Node 15 Floor 1,HallE15
HALL,Hallway Node 16 Floor 1,HallE16
HALL,Hallway Node 17 Floor 1,HallE17
HALL,Hallway Node 18 Floor 1,HallE18
HALL,Hallway Node 19 Floor 1,HallE19
HALL,Hallway Node 20 Floor 1,HallE20
HALL,Hallway Node 21 Floor 1,HallE21
HALL,Hallway Node 22 Floor 1,HallE22
HALL,Hallway Node 23 Floor 1,HallE23
HALL,Hallway Node 24 Floor 1,HallE24
HALL,Hallway Node 25 Floor 1,HallE25
HALL,Hallway Node 26 Floor 1,HallE26
HALL,Hallway Node 27 Floor 1,HallE27
HALL,Hallway Node 28 Floor 1,HallE28
HALL,Hallway Node 29 Floor 1,HallE29
HALL,Hallway Node 30 Floor 1,HallE30
HALL,Hallway Node 31 Floor 1,HallE31
HALL,Hallway Node 32 Floor 1,HallE32
HALL,Hallway Node 33 Floor 1,HallE33
HALL,Hallway Node 34 Floor 1,HallE34
HALL,HallNode,HallNode
HALL,Hallway Intersection 1 Level 2,Hallway B0102
HALL,Hallway Intersection 2 Level 2,Hallway B0202
HALL,Hallway Intersection 3 Level 2,Hallway B0302
HALL,Hallway Intersection 4 Level 2,Hallway B0402
HALL,Hallway Intersection 41 Level 2,Hallway B04102
HALL,Hallway Intersection 42 Level 2,Hallway B04202
HALL,Hallway Intersection 43 level 2,Hallway B04302
HALL,Hallway Intersection 5 Level 2,Hallway B0502
HALL,Hallway Intersection 6 Level 2,Hallway B0602
HALL,Hallway Intersection 7 Level 2,Hallway B0702
HALL,Hallway Intersection 8 Level 2,Hallway B0802
