longname, locationtype, shortname
15 Lobby Entrance Floor 2,EXIT,15 Lobby Entrance
75 Francis Valet Drop-off,EXIT,75 Francis Exit
75 Lobby,HALL,75 Lobby
Au Bon Pain,RETL,ABP
Ambulance Parking Exit Floor 1,EXIT,AmbExit 1
Asthma Research Floor 1,LABS,Asthma 1
ATM MapNode 23 Floor 1,SERV,ATM Floor 1
Bathroom 1 Tower Floor 2,BATH,Bathroom 0102
Bathroom 1 Tower Floor 3,BATH,Bathroom 0103
Bathroom 2 Tower Floor 3,BATH,Bathroom 0203
Bathroom 75 Lobby,REST,Bathroom Lobby
Bretholtz Center for Patients and Families,DEPT,Bretholtz WR
Brigham Circle Medical Associates Node 4 Floor 3,DEPT,Brigham Circle Medical Associates
Brigham Health Floor 2,DEPT,Brigham Health
BTM Conference Center,CONF,BTM Conference
Cafe,RETL,Cafe
Cafe Stairs,STAI,Cafe Staris
Cardiac Stress Test Lab Floor L2,LABS,Cardiac Stress Test Lab
Cardiovascular Imaging Center Floor L2,LABS,Cardiovascular Imaging Center
CART Waiting,DEPT,CART Waiting
Multifaith Chapel,DEPT,Chapel
Chest Diseases Floor 2,DEPT,Chest Diseases
Center for International Medicine,DEPT,CIM
Clinical Trials,LABS,Clinical Trials
Duncan Reid Conference Room,CONF,Conf B0102
Anesthesia Conf Floor L1,CONF,Conf C001L1
Medical Records Conference Room Floor L1,CONF,Conf C002L1
Abrams Conference Room,CONF,Conf C003L1
Carrie M. Hall Conference Center Floor 2,CONF,Conference Center
CVRR Floor L2,LABS,CVRR
Center for Infertility and Reproductive Surgery,DEPT,D1
Gynecology Oncology MIGS,DEPT,D2
General Surgical Specialties Suite A,DEPT,D3
General Surgical Specialties Suite B,DEPT,D4
Urology,DEPT,D5
Maternal Fetal Practice,DEPT,D6
Obstetrics,DEPT,D7
Fetal Med & Genetics,DEPT,D8
Gynecology,DEPT,D9
Day Surgery Family Waiting Floor L1,DEPT,Department C002L1
Day Surgery Family Waiting Exit Floor L1,DEPT,Department C003L1
Medical Records Film Library Floor L1,DEPT,Department C004L1
Comprehensive Breast Heath,DEPT,DEPT B0102
Oral Medicine and Dentistry,DEPT,DEPT B0202
Lee Bell Breast Center,DEPT,DEPT B0302
Jen Center for Primary Care,DEPT,DEPT B0402
Ear Nose & Throat,DEPT,DEPT B0502
Plastic Surgery,DEPT,DEPT B0702
Outpatient Pharmacy,DEPT,DEPT B0802
Weiner Center for Preoperative Evaluation,DEPT,DEPT B0902
Dialysis Waiting Room,DEPT,Dialysis WR
Elevator A Floor 2,ELEV,Elevator A2
Elevator B Floor 2,ELEV,Elevator B2
Elevator C Floor 2,ELEV,Elevator C2
Elevator D Floor 2,ELEV,Elevator D2
Elevator E Floor 1,ELEV,Elevator E1
Elevator E Floor 2,ELEV,Elevator E2
Elevator F Floor 1,ELEV,Elevator F1
Elevator F Floor 2,ELEV,Elevator F2
Elevator G Floor 1,ELEV,Elevator G1
Elevator G Floor 2,ELEV,Elevator G2
Elevator H Floor 1,ELEV,Elevator H1
Elevator H Floor 2,ELEV,Elevator H2
Elevator H Floor 3,ELEV,Elevator H3
Elevator H Floor L1,ELEV,Elevator HL1
Elevator J Floor 1,ELEV,Elevator J1
Elevator J Floor 2,ELEV,Elevator J2
Elevator J Floor 3,ELEV,Elevator J3
Elevator J Floor L1,ELEV,Elevator JL1
Elevator J Floor L2,ELEV,Elevator JL2
Elevator K Floor 1,ELEV,Elevator K1
Elevator K Floor 2,ELEV,Elevator K2
Elevator K Floor 3,ELEV,Elevator K3
Elevator K Floor L1,ELEV,Elevator KL1
Elevator K Floor L2,ELEV,Elevator KL2
Elevator L Floor 1,ELEV,Elevator L1
Elevator L Floor 2,ELEV,Elevator L2
Elevator L Floor 3,ELEV,Elevator L3
Elevator L Floor L1,ELEV,Elevator LL1
Elevator L Floor L2,ELEV,Elevator LL2
Elevator M Floor 1,ELEV,Elevator M1
Elevator M Floor 2,ELEV,Elevator M2
Elevator M Floor 3,ELEV,Elevator M3
Elevator M Floor L1,ELEV,Elevator ML1
Elevator M Floor L2,ELEV,Elevator ML2
Elevator N Node 25 Floor 2,ELEV,Elevator N Floor 1
Elevator N Node 15 Floor 3,ELEV,Elevator N Floor 3
Elevator Q MapNode 18 Floor 1,ELEV,Elevator Q Floor 1
Elevator Q Node 31a Floor 2,ELEV,Elevator Q Floor 2
Elevator Q Node 5 Floor 3,ELEV,Elevator Q Floor 3
Elevator Q MapNode 7 Floor L1,ELEV,Elevator Q L1
Elevator Q MapNode 6 Floor L2,ELEV,Elevator Q L2
Elevator S 01,ELEV,Elevator S 1
Elevator S 02,ELEV,Elevator S 2
Elevator S Floor 3,ELEV,Elevator S 3
Elevator S L2,ELEV,Elevator S L2
Emergency Department,DEPT,Emergency
Emergency Department Entrance,EXIT,Emergency Entrance
Endoscopy,DEPT,Endoscopy
